Starting GA with 100 individuals for 100 generations...
Gen 1/100: Best fitness = 22821.4, Elective delay = 5980
Gen 2/100: Best fitness = 22821.4, Elective delay = 5980
Gen 3/100: Best fitness = 22821.4, Elective delay = 5980
Gen 4/100: Best fitness = 22821.4, Elective delay = 5980
Gen 5/100: Best fitness = 22821.4, Elective delay = 5980
Gen 6/100: Best fitness = 22821.4, Elective delay = 5980
Gen 7/100: Best fitness = 22821.4, Elective delay = 5980
Gen 8/100: Best fitness = 22821.4, Elective delay = 5980
Gen 9/100: Best fitness = 22821.4, Elective delay = 5980
Gen 10/100: Best fitness = 22821.4, Elective delay = 5980
Gen 11/100: Best fitness = 22821.4, Elective delay = 5980
Gen 12/100: Best fitness = 22821.4, Elective delay = 5980
Gen 13/100: Best fitness = 22821.4, Elective delay = 5980
Gen 14/100: Best fitness = 22821.4, Elective delay = 5980
Gen 15/100: Best fitness = 22821.4, Elective delay = 5980
Gen 16/100: Best fitness = 22821.4, Elective delay = 5980
Gen 17/100: Best fitness = 22821.4, Elective delay = 5980
Gen 18/100: Best fitness = 22821.4, Elective delay = 5980
Gen 19/100: Best fitness = 22821.4, Elective delay = 5980
Gen 20/100: Best fitness = 22821.4, Elective delay = 5980
Gen 21/100: Best fitness = 22821.4, Elective delay = 5980
Gen 22/100: Best fitness = 22821.4, Elective delay = 5980
Gen 23/100: Best fitness = 22821.4, Elective delay = 5980
Gen 24/100: Best fitness = 22821.4, Elective delay = 5980
Gen 25/100: Best fitness = 22821.4, Elective delay = 5980
Gen 26/100: Best fitness = 22821.4, Elective delay = 5980
Gen 27/100: Best fitness = 22821.4, Elective delay = 5980
Gen 28/100: Best fitness = 22821.4, Elective delay = 5980
Gen 29/100: Best fitness = 22821.4, Elective delay = 5980
Gen 30/100: Best fitness = 22821.4, Elective delay = 5980
Gen 31/100: Best fitness = 22821.4, Elective delay = 5980
Gen 32/100: Best fitness = 22821.4, Elective delay = 5980
Gen 33/100: Best fitness = 22821.4, Elective delay = 5980
Gen 34/100: Best fitness = 22821.4, Elective delay = 5980
Gen 35/100: Best fitness = 22821.4, Elective delay = 5980
Gen 36/100: Best fitness = 22821.4, Elective delay = 5980
